FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
18027,IN,Daviess ,31648,31951,32139,32276,32697,32836,32969
18029,IN,Dearborn ,50047,50002,49751,49751,49451,49475,49331
18031,IN,Decatur ,25740,25877,26049,26208,26452,26393,26598
18033,IN,DeKalb ,42223,42457,42304,42376,42461,42557,42746
18035,IN,Delaware ,117671,117872,117090,116989,116612,116019,115603
18037,IN,Dubois ,41889,42195,42090,42320,42341,42421,42552
18039,IN,Elkhart ,197559,198495,199172,200354,201609,203284,203781
18041,IN,Fayette ,24277,24154,23953,23850,23479,23426,23331
18043,IN,Floyd ,74578,75030,75344,76099,76257,76761,76990
18045,IN,Fountain ,17240,17135,17103,16878,16704,16536,16486
18047,IN,Franklin ,23087,23001,22993,22924,22913,22890,22715
18049,IN,Fulton ,20836,20748,20655,20434,20502,20328,20139
18051,IN,Gibson ,33503,33551,33565,33556,33833,33762,33703
18053,IN,Grant ,70061,69702,69198,69011,68505,67692,66937
18055,IN,Greene ,33165,33078,33001,32781,32720,32450,32211
18057,IN,Hamilton ,274569,283302,289681,296918,303065,309172,316373
18059,IN,Hancock ,70002,70377,70645,71086,71933,72392,73717
