FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
20053.0,KS,Ellsworth ,6497.0,6469.0,6471.0,6382.0,6365.0,6330.0,6328.0
20055.0,KS,Finney ,36776.0,37131.0,37114.0,37031.0,37048.0,37000.0,36722.0
20057.0,KS,Ford ,33848.0,34410.0,34729.0,34829.0,34667.0,34263.0,33971.0
20059.0,KS,Franklin ,25992.0,25879.0,25859.0,25770.0,25567.0,25559.0,25560.0
20061.0,KS,Geary ,34362.0,35301.0,37947.0,36893.0,36682.0,36981.0,35586.0
20063.0,KS,Gove ,2695.0,2691.0,2722.0,2761.0,2710.0,2657.0,2589.0
20065.0,KS,Graham ,2597.0,2635.0,2587.0,2592.0,2553.0,2589.0,2564.0
20067.0,KS,Grant ,7829.0,7884.0,7824.0,7822.0,7758.0,7690.0,7646.0
20069.0,KS,Gray ,6006.0,6104.0,5983.0,5996.0,6078.0,6095.0,6034.0
20071.0,KS,Greeley ,1247.0,1254.0,1270.0,1292.0,1302.0,1317.0,1296.0
20073.0,KS,Greenwood ,6689.0,6607.0,6440.0,6375.0,6308.0,6244.0,6151.0
20075.0,KS,Hamilton ,2690.0,2629.0,2635.0,2593.0,2590.0,2481.0,2536.0
20077.0,KS,Harper ,6034.0,5939.0,5859.0,5844.0,5821.0,5781.0,5685.0
20079.0,KS,Harvey ,34684.0,34707.0,34796.0,34784.0,34670.0,34908.0,34913.0
20081.0,KS,Haskell ,4256.0,4216.0,4196.0,4101.0,4076.0,4058.0,4006.0
20083.0,KS,Hodgeman ,1916.0,1988.0,1964.0,1954.0,1911.0,1896.0,1870.0
20085.0,KS,Jackson ,13462.0,13448.0,13417.0,13332.0,13456.0,13328.0,13291.0
20087.0,KS,Jefferson ,19126.0,18983.0,18921.0,18835.0,18863.0,18886.0,18897.0
20089.0,KS,Jewell ,3077.0,3090.0,3040.0,3059.0,3038.0,2978.0,2901.0
20091.0,KS,Johnson ,544179.0,552855.0,559515.0,566393.0,573024.0,578758.0,584451.0
20093.0,KS,Kearny ,3977.0,3967.0,3983.0,3921.0,3944.0,3948.0,3917.0
20095.0,KS,Kingman ,7858.0,7898.0,7831.0,7829.0,7704.0,7653.0,7467.0
20097.0,KS,Kiowa ,2553.0,2557.0,2505.0,2527.0,2525.0,2558.0,2483.0
20099.0,KS,Labette ,21607.0,21424.0,21206.0,20913.0,20852.0,20749.0,20444.0
20101.0,KS,Lane ,1750.0,1764.0,1701.0,1718.0,1685.0,1663.0,1636.0
20103.0,KS,Leavenworth ,76227.0,77102.0,77713.0,78141.0,78658.0,79207.0,80204.0
20105.0,KS,Lincoln ,3241.0,3216.0,3170.0,3143.0,3158.0,3126.0,3073.0
20107.0,KS,Linn ,9656.0,9606.0,9482.0,9515.0,9502.0,9561.0,9558.0
20109.0,KS,Logan ,2756.0,2764.0,2792.0,2780.0,2784.0,2814.0,2831.0
